"","Pop","MLL_no","Indv_no","Pop_no","coast","lat","long","temp_mean_adjust","temp_max","temp_mean_adjust.1","sal_min","sal_mean_adjust","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"1","BAR",241,"BAR-01","01","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"2","BAR",244,"BAR-02","02","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"3","BAR",251,"BAR-07","07","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"4","BAR",258,"BAR-14","14","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"5","BAR",247,"BAR-03","03","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"6","BAR",263,"BAR-19","19","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"7","BAR",250,"BAR-06","06","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"8","BAR",255,"BAR-10","10","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"9","BAR",261,"BAR-17","17","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"10","BAR",259,"BAR-15","15","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
"11","BAR",260,"BAR-16","16","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.761244598460951,-0.120053904951905,1.08103632442993,-0.109839853817766
